record_id,td_sim_0,record_atd
0,9.0,9.0
10,12.0,12.0
12,38.0,38.0
15,49.0,49.0
19,206.0,206.0
23,91.0,91.0
27,17.0,17.0
34,53.0,53.0
39,4.0,4.0
42,34.0,34.0
59,127.0,127.0
63,15.0,15.0
66,52.0,52.0
77,25.0,25.0
85,44.0,44.0
95,78.0,78.0
101,47.0,47.0
104,69.0,69.0
107,6.0,6.0
115,74.0,74.0
119,100.0,100.0
124,31.0,31.0
125,143.0,143.0
126,116.0,116.0
159,45.0,45.0
160,59.0,59.0
176,223.0,223.0
190,5.0,5.0
199,85.0,85.0
206,1.0,1.0
211,26.0,26.0
212,11.0,11.0
215,97.0,97.0
245,87.0,87.0
249,13.0,13.0
250,88.0,88.0
253,39.0,39.0
255,8.0,8.0
256,51.0,51.0
259,48.0,48.0
average_simulation_TD,58.15,
