record_id,td_sim_0,record_atd
0,54.0,54.0
10,57.0,57.0
12,74.0,74.0
15,28.0,28.0
19,216.0,216.0
23,46.0,46.0
27,60.0,60.0
34,96.0,96.0
39,50.0,50.0
42,39.0,39.0
59,165.0,165.0
63,47.0,47.0
66,95.0,95.0
77,80.0,80.0
85,38.0,38.0
95,62.0,62.0
101,84.0,84.0
104,111.0,111.0
107,51.0,51.0
115,112.0,112.0
119,24.0,24.0
124,69.0,69.0
125,144.0,144.0
126,129.0,129.0
159,31.0,31.0
160,101.0,101.0
190,49.0,49.0
199,106.0,106.0
206,56.0,56.0
211,73.0,73.0
212,55.0,55.0
215,23.0,23.0
245,103.0,103.0
249,58.0,58.0
250,104.0,104.0
253,75.0,75.0
255,53.0,53.0
256,94.0,94.0
259,35.0,35.0
271,229.0,229.0
average_simulation_TD,79.4,
