record_id,td_sim_0,record_atd
0,1.0,1.0
10,10.0,10.0
12,36.0,36.0
15,53.0,53.0
19,213.0,213.0
23,86.0,86.0
27,20.0,20.0
34,57.0,57.0
39,12.0,12.0
42,44.0,44.0
59,117.0,117.0
63,19.0,19.0
66,56.0,56.0
77,26.0,26.0
85,46.0,46.0
95,33.0,33.0
101,49.0,49.0
104,69.0,69.0
107,14.0,14.0
115,77.0,77.0
119,113.0,113.0
124,32.0,32.0
125,131.0,131.0
126,141.0,141.0
159,47.0,47.0
160,62.0,62.0
176,223.0,223.0
190,13.0,13.0
199,79.0,79.0
206,16.0,16.0
211,27.0,27.0
212,4.0,4.0
215,112.0,112.0
245,82.0,82.0
249,6.0,6.0
250,83.0,83.0
253,37.0,37.0
255,11.0,11.0
256,55.0,55.0
259,51.0,51.0
271,229.0,229.0
average_simulation_TD,63.21951219512195,
